"Kingdom","Phylum","Class","Subclass","Infraclass","Subterclass","Superorder","Order","Superfamily","Family","Genus","Species","Subfamily","Tribe","Subphylum","Suborder","Superclass","Subgenus","Infraorder","Parvorder","Subspecies","Infraphylum","Parvphylum","Gigaclass","Section","Subsection","Flokkun","id","N","Artal","skipting","stod","Nu","A","worms"
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra nitida",,,,,,,,,,,,,,,"Abra nitida","C4",1,1999,1,"C4",1,"141435",141435
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra nitida",,,,,,,,,,,,,,,"Abra nitida","A7C",5,2017,4,"A7",20,"141435",141435
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra nitida",,,,,,,,,,,,,,,"Abra nitida","B8C",10,2016,4,"B8",40,"141435",141435
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra nitida",,,,,,,,,,,,,,,"Abra nitida","E4A",1,2017,4,"E4",4,"141435",141435
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra nitida",,,,,,,,,,,,,,,"Abra nitida","A7",1,1999,1,"A7",1,"141435",141435
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra nitida",,,,,,,,,,,,,,,"Abra nitida","E4C",1,2016,4,"E4",4,"141435",141435
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra nitida",,,,,,,,,,,,,,,"Abra nitida","B5",1,1999,1,"B5",1,"141435",141435
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra nitida",,,,,,,,,,,,,,,"Abra nitida","A7B",3,2017,4,"A7",12,"141435",141435
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra nitida",,,,,,,,,,,,,,,"Abra nitida","B5C",5,2017,4,"B5",20,"141435",141435
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra nitida",,,,,,,,,,,,,,,"Abra nitida","C4C",3,2017,4,"C4",12,"141435",141435
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra nitida",,,,,,,,,,,,,,,"Abra nitida","B5A",3,2017,4,"B5",12,"141435",141435
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra nitida",,,,,,,,,,,,,,,"Abra nitida","E4B",5,2017,4,"E4",20,"141435",141435
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra prismatica",,,,,,,,,,,,,,,"Abra prismatica","C4B",1,2016,4,"C4",4,"141436",141436
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Cardioidea","Cardiidae","Acanthocardia","Acanthocardia echinata","Lymnocardiinae","Acanthocardiini",,,,,,,,,,,,,"Acanthocardia echinata","B5C",1,2017,1,"B5",1,"138992",138992
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Cardioidea","Cardiidae","Acanthocardia","Acanthocardia tuberculata","Lymnocardiinae","Acanthocardiini",,,,,,,,,,,,,"Acanthocardia tuberculata","E4C",1,2016,4,"E4",4,"381057",381057
"Animalia","Arthropoda","Arachnida","Acarina",,,,,,,,,,,"Chelicerata",,,,,,,,,,,,"Acarina","E3D",2,2013,1,"E3",2,"1349",1349
"Animalia","Arthropoda","Arachnida","Acarina",,,,,,,,,,,"Chelicerata",,,,,,,,,,,,"Acarina","U1B",2,2013,8,"U1",16,"1349",1349
"Animalia","Arthropoda","Arachnida","Acarina",,,,,,,,,,,"Chelicerata",,,,,,,,,,,,"Acarina","B0B",1,2013,1,"B0",1,"1349",1349
"Animalia","Arthropoda","Arachnida","Acarina",,,,,,,,,,,"Chelicerata",,,,,,,,,,,,"Acarina","B5A",1,2013,8,"B5",8,"1349",1349
"Animalia","Mollusca","Gastropoda","Patellogastropoda",,,,,"Lottioidea","Acmaeidae","Acmaea","Acmaea testudinalis",,,,,,,,,,,,,,,"Acmaea testudinalis","B0A",1,2014,1,"B0",1,"153536",153536
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Terebellida",,"Ampharetidae","Ampharete",,"Ampharetinae","Ampharetini",,"Terebelliformia",,,,,,,,,,,"Ampharete","U1C",1,2013,1,"U1",1,"129155",129155
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Terebellida",,"Ampharetidae","Ampharete",,"Ampharetinae","Ampharetini",,"Terebelliformia",,,,,,,,,,,"Ampharete","B8B",1,2017,4,"B8",4,"129155",129155
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Terebellida",,"Ampharetidae","Ampharete","Ampharete acutifrons","Ampharetinae","Ampharetini",,"Terebelliformia",,,,,,,,,,,"Ampharete acutifrons","U1A",1,2013,1,"U1",1,"129775",129775
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Terebellida",,"Ampharetidae","Ampharete","Ampharete acutifrons","Ampharetinae","Ampharetini",,"Terebelliformia",,,,,,,,,,,"Ampharete acutifrons","E3",14,1999,1,"E3",14,"129775",129775
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Terebellida",,"Ampharetidae","Ampharete","Ampharete acutifrons","Ampharetinae","Ampharetini",,"Terebelliformia",,,,,,,,,,,"Ampharete acutifrons","E3B",1,2014,1,"E3",1,"129775",129775
