"Flokkun","Artal","N"
"Musculus discors",1999,4
"Mya arenaria",2014,9
"Mya arenaria",2015,19
"Mya arenaria",2016,35
"Mya arenaria",2017,19
"Mya truncata",2014,1
"Myriochele oculata",1999,6
"Myriochele oculata",2013,1
"Mytilidae",2014,28
"Mytilidae",2015,11
"Mytilidae",2016,2
"Mytilidae",2017,2
"Mytilus edulis",1999,59
"Mytilus edulis",2014,4
"Mytilus edulis",2015,4
"Naineris quadricuspida",2014,34
"Naticidae",2017,1
"Nephtyidae",2013,6
"Nephtyidae",2014,3
"Nephtyidae",2016,1
"Nephtys",2016,3
"Nepthys",2015,9
"Nepthys",2017,9
"Nereimyra punctata",2013,4
"Nereimyra punctata",2015,1
"Nereis pelagica",2014,1
"Nicolea zostericola",2017,1
"Notomastus latericeus ",2017,1
"Nuculana minuta",2016,5
"Nuculana pernula",2016,14
"Nudibranchia",2014,1
"Nudibranchia",2017,2
"Oligochaeta",1999,207
"Oligochaeta",2016,70
"Onoba aculeus",1999,4
"Onoba aculeus",2014,8
"Onoba aculeus",2017,1
"Onoba striata",2017,1
"Ophelina acuminata",1999,25
"Ophelina acuminata",2014,2
"Ophelina acuminata",2015,148
"Ophelina acuminata",2016,415
"Ophelina acuminata",2017,100
"Ophiuroidea",1999,1
"Ophiuroidea",2013,29
"Ophiuroidea",2016,1
"Ophryotrocha cosmetandra",2013,1
"Orbiniidae",2013,1
"Orbiniidae",2016,1
"ostracoda",2016,7
"Paraonidae",2016,2
"Paroediceros lynceus",1999,11
"Parougia nigridentata",2015,1
"Parvicardium minimum",2016,3
"Parvicardium pinnulatum",2017,4
"Pectinaria granulata",1999,24
"Pectinaria granulata",2013,10
"Pectinaria granulata",2014,4
"Pectinaria granulata",2015,4
"Pectinaria granulata",2017,2
"Pectinaria koreni",2014,3
"Pectinaria koreni",2015,10
"Pectinaria koreni",2016,1
"Pectinaria koreni",2017,6
"Pectinariidae",2016,1
"Pherusa plumosa",2017,1
"Philomedes globosus",1999,5
"Philomedes globosus",2013,6
"Pholoe",2013,1
"Pholoe",2015,3
"Pholoe",2016,2
"Pholoe",2017,1
"Pholoe minuta",1999,6
"Phyllodoce maculata",1999,2
"Phyllodoce maculata",2013,3
"Phyllodoce maculata",2014,20
"Phyllodoce maculata",2015,4
"Phyllodoce maculata",2016,4
"Phyllodoce maculata",2017,14
"Phyllodocida",2016,1
"Phyllodocidae",2013,2
"Platyhelminthes",2016,1
"Polychaeta",2016,9
"Polydora",1999,262
"Polydora",2016,215
"Polynoidae",2016,5
"Polyplacophora",2013,20
"Praxillella praetermissa",1999,34
"Praxillella praetermissa",2013,41
"Praxillella praetermissa",2014,3
"Praxillella praetermissa",2015,6
"Praxillella praetermissa",2016,11
"Praxillella praetermissa",2017,58
"priapulidae",2016,1
"Priapulidae",2016,6
"Priapulus caudatus",1999,5
"Priapulus caudatus",2014,4
"Priapulus caudatus",2015,1
"Priapulus caudatus",2017,7
"Protomedeia fasciata",1999,34
"Protomedeia fasciata",2013,1
"Protomedeia fasciata",2014,9
"Protomedeia fasciata",2015,8
"Protomedeia fasciata",2016,1
"Protomedeia fasciata",2017,30
"Pseudopolydora antennata",2016,1
"Pseudopotamilla reniformis",1999,1
"Pycnogonida",2013,15
"Pycnogonida",2017,1
"Pygospio elegans",1999,2
"Pygospio elegans",2016,3
"Pygospio elegans",2017,3
"Retusa pertenuis",1999,3
"Rhodine gracilior",2013,1
"Sabellida",2013,3
"Sabellida",2014,1
"Sabellida",2017,1
"Sabellidae",2016,2
"scalibregma inflatum",2016,6
"Scalibregma inflatum",1999,79
"Scalibregma inflatum",2015,6
"Scalibregma inflatum",2016,50
"Scalibregma inflatum",2017,156
"Schistomeringos nigridentata",1999,22
"Scoloplos armiger",1999,32
"Scoloplos armiger",2013,40
"Scoloplos armiger",2014,12
"Scoloplos armiger",2015,53
"Scoloplos armiger",2016,80
"Scoloplos armiger",2017,108
