"Flokkun","id","N","Artal","skipting","stod","Nu"
"egg/lirfur","C4C",1,2013,8,"C4",8
"egg/lirfur","B5C",1,2013,8,"B5",8
"egg/lirfur","C4B",1,2013,1,"C4",1
"egg/lirfur","U2A",1,2013,8,"U2",8
"egg/lirfur","E3D",18,2013,1,"E3",18
"egg/lirfur","B8A",4,2013,4,"B8",16
"egg/lirfur","A7A",1,2013,8,"A7",8
"egg/lirfur","C4A",3,2013,8,"C4",24
"Eteone longa ath","B8B",1,2013,8,"B8",8
"Eteone longa ath","C4C",1,2013,8,"C4",8
"Eteone longa ath","C4C",5,2013,1,"C4",5
"Eteone longa ath","U2C",2,2013,1,"U2",2
"Eteone longa ath","U2B",6,2013,1,"U2",6
"Eteone longa ath","U1A",2,2013,1,"U1",2
"Eteone longa ath","B0C",5,2013,1,"B0",5
"Eteone longa ath","C4B",2,2013,1,"C4",2
"Eteone longa ath","E3B",3,2013,1,"E3",3
"Eteone longa ath","U2A",1,2013,1,"U2",1
"Eteone longa ath","U2A",1,2013,8,"U2",8
"Eteone longa ath","E3A",2,2013,1,"E3",2
"Eteone longa ath","E3A",1,2013,8,"E3",8
"Eteone longa ath","B0B",7,2013,1,"B0",7
"Eteone longa ath","C4A",2,2013,1,"C4",2
"Eunoe nodosa","E3A",6,2013,1,"E3",6
"Eunoe nodosa","B0B",2,2013,1,"B0",2
"Eunoe nodosa","C4A",10,2013,1,"C4",10
"Eupolymnia nesidensis","U1C",4,2013,1,"U1",4
"Eupolymnia nesidensis","U1A",10,2013,1,"U1",10
"Eupolymnia nesidensis","U1B",2,2013,1,"U1",2
"Exogone hebes","U2B",2,2013,8,"U2",16
"Exogone hebes","U2A",1,2013,8,"U2",8
"Exogone verrugera","U2C",1,2013,8,"U2",8
"Exogone verrugera","U1A",3,2013,1,"U1",3
"Exogone verrugera","U2A",6,2013,1,"U2",6
"Exogone verrugera","U2A",1,2013,8,"U2",8
"Flabelligera affinis???","U1C",1,2013,1,"U1",1
"Foraminifera","C4A",311,2013,8,"C4",2488
"Galathowenia oculata","U2A",2,2013,1,"U2",2
"Gastropoda ungv","U1A",2,2013,8,"U1",16
"Gattyana cirrosa","U1A",3,2013,1,"U1",3
"Gattyana cirrosa","U1B",1,2013,1,"U1",1
"Harmothoe extenuata","U1C",2,2013,1,"U1",2
"Harmothoe extenuata","U1A",1,2013,1,"U1",1
"Harmothoe extenuata","C4B",2,2013,1,"C4",2
"Harmothoe extenuata","E3B",1,2013,1,"E3",1
"Harmothoe extenuata","E3A",5,2013,1,"E3",5
"Harmothoe extenuata","U1B",4,2013,8,"U1",32
"Harmothoe imbricata","U1A",6,2013,1,"U1",6
"Harmothoe imbricata","B0C",2,2013,1,"B0",2
"Harmothoe imbricata","C4B",1,2013,1,"C4",1
"Harmothoe imbricata","U2A",2,2013,1,"U2",2
"Harmothoe imbricata","U1B",6,2013,8,"U1",48
"Harmothoe imbricata","U1B",3,2013,1,"U1",3
"Harmothoe imbricata","B0B",1,2013,1,"B0",1
"Harmothoe sp","B0A",7,2013,8,"B0",56
"Harmothoe sp","B0A",5,2013,1,"B0",5
"Harmothoe sp","C4C",1,2013,8,"C4",8
"Harmothoe sp","C4C",6,2013,1,"C4",6
"Harmothoe sp","U1C",15,2013,4,"U1",60
"Harmothoe sp","U1C",8,2013,1,"U1",8
"Harmothoe sp","U2C",5,2013,8,"U2",40
"Harmothoe sp","U2C",3,2013,1,"U2",3
"Harmothoe sp","U2B",1,2013,8,"U2",8
"Harmothoe sp","U2B",2,2013,1,"U2",2
"Harmothoe sp","B0C",1,2013,1,"B0",1
"Harmothoe sp","E3B",5,2013,2,"E3",10
"Harmothoe sp","C4B",1,2013,8,"C4",8
"Harmothoe sp","E3B",9,2013,1,"E3",9
"Henricia sanguinolenta","U1B",4,2013,8,"U1",32
"Heteromastus filiformis","U2B",1,2013,1,"U2",1
"Hiatella arctica","U1C",1,2013,8,"U1",8
"Hyas araneus","U1B",1,2013,1,"U1",1
"Lanassa venusta","U2B",1,2013,1,"U2",1
"Lanassa venusta","U2A",5,2013,1,"U2",5
"Lepeta caeca","U1B",1,2013,8,"U1",8
"Lepidonotus squamatus","U1C",1,2013,1,"U1",1
"Lepidonotus squamatus","U1A",2,2013,1,"U1",2
"Lepidonotus squamatus","U1B",1,2013,8,"U1",8
"Levinsenia gracilis","U2C",1,2013,8,"U2",8
"Levinsenia gracilis","U2B",1,2013,8,"U2",8
"Levinsenia gracilis","U2B",2,2013,1,"U2",2
"Levinsenia gracilis","E3B",1,2013,1,"E3",1
"Levinsenia gracilis","U2A",1,2013,1,"U2",1
"Macoma calcaria","U1C",1,2013,8,"U1",8
"Macoma calcaria","U2C",18,2013,1,"U2",18
"Macoma calcaria","U2B",7,2013,1,"U2",7
"Macoma calcaria","B0C",2,2013,8,"B0",16
"Macoma calcaria","B0C",1,2013,1,"B0",1
"Macoma calcaria","U2A",1,2013,1,"U2",1
"Macoma calcaria","U2A",1,2013,8,"U2",8
"Maldanidae sp","U2C",1,2013,1,"U2",1
"Mediomastus filiformis","U2A",2,2013,1,"U2",2
"Mediomastus fragilis","C4C",1,2013,8,"C4",8
"Mediomastus fragilis","U2C",2,2013,1,"U2",2
"Mediomastus fragilis","U2B",2,2013,8,"U2",16
"Mediomastus fragilis","U2B",2,2013,1,"U2",2
"Mediomastus fragilis","E4C",1,2013,1,"E4",1
"Mediomastus fragilis","B0B",6,2013,1,"B0",6
"Mediomastus fragilis","B0B",2,2013,8,"B0",16
"Microphthalmus aberrans","C4C",4,2013,8,"C4",32
"Microphthalmus aberrans","C4C",1,2013,1,"C4",1
"Microphthalmus aberrans","U2C",1,2013,1,"U2",1
"Microphthalmus aberrans","U2B",1,2013,8,"U2",8
"Microphthalmus aberrans","U1A",1,2013,1,"U1",1
"Microphthalmus aberrans","B8C",1,2013,8,"B8",8
"Microphthalmus aberrans","E3B",7,2013,2,"E3",14
"Microphthalmus aberrans","C4B",2,2013,8,"C4",16
"Microphthalmus aberrans","U2A",2,2013,1,"U2",2
"Microphthalmus aberrans","E3A",1,2013,1,"E3",1
"Microphthalmus aberrans","E3A",1,2013,8,"E3",8
"Microphthalmus aberrans","C4A",2,2013,8,"C4",16
"Microphthalmus aberrans","B5A",3,2013,1,"B5",3
"Moelleria costulata","U1B",2,2013,8,"U1",16
"Musculus","U1C",5,2013,8,"U1",40
"Myriochele oculata","U2C",1,2013,1,"U2",1
"Nematoda sp","U2B",3,2013,1,"U2",3
"Nematoda sp","B0C",1,2013,8,"B0",8
"Nematoda sp","B0C",13,2013,1,"B0",13
"Nematoda sp","E3B",25,2013,2,"E3",50
"Nematoda sp","C4B",3,2013,8,"C4",24
"Nematoda sp","C4B",4,2013,1,"C4",4
"Nematoda sp","B5B",8,2013,8,"B5",64
"Nematoda sp","B5B",1,2013,1,"B5",1
"Nematoda sp","E4B",4,2013,8,"E4",32
"Nematoda sp","U2A",16,2013,1,"U2",16
"Nematoda sp","U2A",98,2013,8,"U2",784
"Nematoda sp","E3D",12,2013,1,"E3",12
"Nematoda sp","E3A",8,2013,1,"E3",8
"Nematoda sp","E3A",33,2013,8,"E3",264
"Nematoda sp","U1B",120,2013,8,"U1",960
"Nematoda sp","B0B",11,2013,1,"B0",11
"Nematoda sp","B0B",23,2013,8,"B0",184
"Nematoda sp","C4A",11,2013,8,"C4",88
"Nematoda sp","B5A",4,2013,1,"B5",4
"Nematoda sp","B5A",7,2013,4,"B5",28
"Nematoda sp","B5A",21,2013,8,"B5",168
"Nematoda sp","A7C",3,2013,8,"A7",24
"Nemertea?","U1C",5,2013,4,"U1",20
"Nemertea?","U1C",1,2013,8,"U1",8
"Nemertea?","U1A",12,2013,1,"U1",12
"Nemertea?","B0C",7,2013,8,"B0",56
"Nemertea?","B0C",44,2013,1,"B0",44
"Nephtiydae sp","U2B",3,2013,1,"U2",3
"Nephtiydae sp","U1A",1,2013,1,"U1",1
"Nephtiydae sp","U2A",2,2013,1,"U2",2
"Nereimyra punctata","U1C",1,2013,1,"U1",1
"Nereimyra punctata","U1A",2,2013,1,"U1",2
"Nereimyra punctata","U1B",1,2013,8,"U1",8
"Oligochaeta sp.","E4A",5,2013,8,"E4",40
"Oligochaeta sp.","E4A",1,2013,1,"E4",1
"Oligochaeta sp.","U1C",2,2013,4,"U1",8
"Oligochaeta sp.","U2C",22,2013,8,"U2",176
"Oligochaeta sp.","U2C",6,2013,1,"U2",6
"Oligochaeta sp.","U2B",7,2013,8,"U2",56
"Oligochaeta sp.","U2B",2,2013,1,"U2",2
"Oligochaeta sp.","E4C",1,2013,8,"E4",8
"Oligochaeta sp.","B0C",9,2013,1,"B0",9
"Oligochaeta sp.","E3B",19,2013,2,"E3",38
"Oligochaeta sp.","C4B",2,2013,8,"C4",16
"Oligochaeta sp.","E3B",3,2013,1,"E3",3
"Oligochaeta sp.","E4B",7,2013,8,"E4",56
"Oligochaeta sp.","E4B",2,2013,1,"E4",2
"Oligochaeta sp.","U2A",18,2013,1,"U2",18
"Oligochaeta sp.","U2A",13,2013,8,"U2",104
"Oligochaeta sp.","E3A",5,2013,1,"E3",5
"Oligochaeta sp.","C4A",2,2013,1,"C4",2
"Ophiuroidea sp","U1C",2,2013,1,"U1",2
"Ophiuroidea sp","U1A",21,2013,1,"U1",21
"Ophiuroidea sp","E3A",1,2013,1,"E3",1
"Ophiuroidea sp","U1B",2,2013,8,"U1",16
"Ophiuroidea sp","U1B",3,2013,1,"U1",3
"Ophryotrocha cf Cosmetandra","U2A",1,2013,1,"U2",1
"Orbiniidae sp","U2B",1,2013,1,"U2",1
"Ostracoda sp","U2B",1,2013,1,"U2",1
"Ostracoda sp","U2A",122,2013,8,"U2",976
"Ostracoda sp","E3D",120,2013,1,"E3",120
"Ostracoda sp","E3A",18,2013,8,"E3",144
"Ostracoda sp","U1B",5,2013,8,"U1",40
"Ostracoda sp","B8A",213,2013,1,"B8",213
"Ostracoda sp","B8A",238,2013,4,"B8",952
"Ostracoda sp","A7A",228,2013,8,"A7",1824
"Ostracoda sp","C4A",43,2013,8,"C4",344
"Ostracoda sp","B5A",1,2013,1,"B5",1
"Ostracoda sp","B5A",23,2013,8,"B5",184
"Ostracoda sp","A7C",55,2013,8,"A7",440
"Ostracoda sp","A7C",174,2013,2,"A7",348
"Pectinaria granulata","U1C",4,2013,1,"U1",4
"Pectinaria granulata","U1A",2,2013,1,"U1",2
"Pectinaria granulata","B0C",4,2013,1,"B0",4
"Philomedes globosus","U1A",5,2013,1,"U1",5
"Philomedes globosus","U1B",1,2013,8,"U1",8
"Pholoe sp","U1A",1,2013,1,"U1",1
"Phyllodoce maculata","U1C",1,2013,1,"U1",1
"Phyllodoce maculata","U1A",1,2013,1,"U1",1
"Phyllodoce maculata","U1B",1,2013,1,"U1",1
"Phyllodocidae sp","U1C",1,2013,1,"U1",1
"Phyllodocidae sp","U2B",1,2013,8,"U2",8
"Polycirrinae sp.","U1B",2,2013,8,"U1",16
"Polynoida ungv.","U1A",32,2013,1,"U1",32
"Polynoida ungv.","E4C",1,2013,1,"E4",1
"Polynoida ungv.","B0C",5,2013,1,"B0",5
"Polynoida ungv.","U2A",5,2013,1,"U2",5
"Polynoida ungv.","E3A",8,2013,1,"E3",8
"Polynoida ungv.","U1B",37,2013,8,"U1",296
"Polyplacophora sp","U1C",5,2013,1,"U1",5
"Polyplacophora sp","U1A",13,2013,1,"U1",13
"Polyplacophora sp","E3A",1,2013,8,"E3",8
"Polyplacophora sp","U1B",1,2013,8,"U1",8
"Porifera sp","U1B",1,2013,8,"U1",8
"Praxillella praetermissa","U2C",7,2013,1,"U2",7
"Praxillella praetermissa","U2B",1,2013,8,"U2",8
"Praxillella praetermissa","U2B",8,2013,1,"U2",8
"Praxillella praetermissa","U1A",5,2013,1,"U1",5
"Praxillella praetermissa","U2A",12,2013,1,"U2",12
"Praxillella praetermissa","U2A",2,2013,8,"U2",16
"Praxillella praetermissa","E3A",6,2013,1,"E3",6
"Protomedeia fasciata","U1B",1,2013,8,"U1",8
