Flokkun,N,skipting,ath
Abra nitida,,,
Amphipoda,,,
Amphitrite cirrata,,,
Arctica islandica,,,
Aricidea suecica,2,0.25,
Bivalvia,,,
Capitella capitata,1,0.25,"Burstar á 1. li›, 9 frambolsli›ir. Hárburstar á 4 fremstu. Krókburstar frá 5. Demystifying the Capitella capitata complex (Annelida, Capitellidae) diversity by morphological and molecular data along the Brazilian coast "
Chaetozone setosa,1,0.25,
Cirratulidae,,,
Corophium bonnellii,2,0.25,
Cossura longocirrata,2,0.25,
Cossuridae,,,
Cumacea,,,
Etone longa,,,
Etone longa,,,
Foraminifera,,,
Foraminifera,,,
Gattyana cirrosa,1,0.25,
Harpacticoida sp,,,
Heteromastus filiformis,,,
Heteromastus filiformis,,,
Hialella arctica,1,0.25,
Leda minuta,,,
Levinsenia gracilis,,,
lirfurOgDrasl,,,
lirfurOgDrasl,,,
Lumbrineridae sp,,,
Macoma calcaria,,,
Macoma calcaria,1,0.25,
Maldanidae,,,
Maldanidae,,,
Maldanidae me augu,,,
Mediomastus fragilis,1,0.25,
Microphthalmus aberrans,,,
Mya arenaria,,,
Nematoda,,,
Nematoda,,,
Nematoda,3,0.25,
Nemertea sp,,,
Nemertea sp,,,
Nuculana minuta,1,0.25,
Oligochaeta sp,2,0.25,
Oligochaeta sp,,,
Ophelina acuminata,1,1,Illa var›veittur
Ophelina acuminata,9,0.25,einn mjög illa var›veittur
Ostracoda,,,
Ostracoda,4,0.25,
Pectinaria hyperborea,1,0.25,"illa var›veittur, uncini ekki sjáanleg. Öruggara a› a› flokka sem Pectinariidae sp."
Pectinariidae sp,,,
Pholoe sp,,,
Phyllodoce maculata,,,
Phyllodocida,,,
Polychaeta sp,,,
Polychaeta sp,,,
Polydora,,,
Polydora,2,0.25,
Polynoidae,,,
Polynoidae,,,
Praxillella praetermissa,,,
Praxillella praetermissa,,,
Protomedeia fasciata,1,0.25,
Priapulidae sp,,,
Pygospio elegans,,,
Scalibregma inflatum,,,
Scalibregma inflatum,1,0.25,
Scoloplos armiger,,,
Scoloplos armiger,1,0.25,minni en 3 mm
Sipuncula ,,,
Sphaerodoropsis minuta,,,
spio,,,
Spionidae sp,,,
Spionidae sp,23,0.25,
Syllidae,,,
Terebellinae,,,
