"","x"
"35","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Cumacea
Family Nannastacidae
Genus Campylaspis
Species sulcata"
"36","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Cumacea
Family Nannastacidae
Genus Cumella
Species pygmaea"
"37","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Cumacea
Family Nannastacidae
Genus Nannastacus
Species unguiculatus"
"38","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Cumacea
Family Pseudocumidae
Genus Petalosarsia
Species declivis"
"39","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Cumacea
Family Pseudocumidae
Genus Pseudocuma
Species gilsoni"
"40","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Cumacea
Family Pseudocumidae
Genus Pseudocuma
Species longicornis"
"41","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Cumacea
Family Pseudocumidae
Genus Pseudocuma
Species similis"
"42","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Mysidacea
Family Lophogastridae
Genus Lophogaster
Species typicus"
"43","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Mysidacea
Family Mysidae
Subfamily Erythropini
Genus Anchialina
Species agilis"
"44","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Mysidacea
Family Mysidae
Subfamily Erythropini
Genus Erythrops
Species elegans"
"45","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Mysidacea
Family Mysidae
Subfamily Gastrosaccinae
Genus Gastrosaccus
Species lobatus"
"46","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Mysidacea
Family Mysidae
Subfamily Gastrosaccinae
Genus Gastrosaccus
Species normani"
"47","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Mysidacea
Family Mysidae
Subfamily Gastrosaccinae
Genus Gastrosaccus
Species sanctus"
"48","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Mysidacea
Family Mysidae
Subfamily Gastrosaccinae
Genus Gastrosaccus
Species spinifer"
"49","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Mysidacea
Family Mysidae
Subfamily Heteromysini
Genus Heteromysis
Species formosa"
"50","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Mysidacea
Family Mysidae
Subfamily Leptomysini
Genus Leptomysis
Species gracilis"
"51","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Mysidacea
Family Mysidae
Subfamily Leptomysini
Genus Mysidopsis
Species angusta"
"52","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Mysidacea
Family Mysidae
Subfamily Leptomysini
Genus Mysidopsis
Species gibbosa"
"53","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Mysidacea
Family Mysidae
Subfamily Mysini
Genus Acanthomysis
Species longicornis"
"54","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Mysidacea
Family Mysidae
Subfamily Mysini
Genus Hemimysis
Species lamornae"
"55","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Mysidacea
Family Mysidae
Subfamily Mysini
Genus Mesopodopsis
Species slabberi"
"56","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Mysidacea
Family Mysidae
Subfamily Mysini
Genus Neomysis
Species integer"
"57","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Mysidacea
Family Mysidae
Subfamily Mysini
Genus Paramysis
Species arenosa"
"58","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Mysidacea
Family Mysidae
Subfamily Mysini
Genus Praunus
Species flexuosus"
"59","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Mysidacea
Family Mysidae
Subfamily Mysini
Genus Praunus
Species inermis"
"60","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Mysidacea
Family Mysidae
Subfamily Mysini
Genus Praunus
Species neglectus"
"61","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Mysidacea
Family Mysidae
Subfamily Mysini
Genus Schistomysis
Species kervillei"
"62","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Mysidacea
Family Mysidae
Subfamily Mysini
Genus Schistomysis
Species ornata"
"63","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Mysidacea
Family Mysidae
Subfamily Mysini
Genus Schistomysis
Species spiritus"
"64","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Mysidacea
Family Mysidae
Subfamily Siriellinae
Genus Siriella
Species armata"
"65","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Mysidacea
Family Mysidae
Subfamily Siriellinae
Genus Siriella
Species clausii"
"66","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Mysidacea
Family Mysidae
Subfamily Siriellinae
Genus Siriella
Species jaltensis"
"67","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Mysidacea
Family Mysidae
Subfamily Siriellinae
Genus Siriella
Species norvegica"
"68","Kingdom Animalia
Phylum Arthropoda
Class Crustacea
Subclass Cirripedia
Order Acrothoracica
Family Alcipidae
Genus Trypetesa
Species lampas"
"69","Kingdom Animalia
Phylum Arthropoda
Class Crustacea
Subclass Cirripedia
Order Rhizocephala
Family Chthamalophilidae
Genus Boschmaella
Species balani"
"70","Kingdom Animalia
Phylum Arthropoda
Class Crustacea
Subclass Cirripedia
Order Rhizocephala
Family Chthamalophilidae
Genus Chthamalophilus
Species delagei"
"71","Kingdom Animalia
Phylum Arthropoda
Class Crustacea
Subclass Cirripedia
Order Rhizocephala
Family Clistosaccidae
Genus Clistosaccus
Species paguri"
"72","Kingdom Animalia
Phylum Arthropoda
Class Crustacea
Subclass Cirripedia
Order Rhizocephala
Family Lernaeodiscidae
Genus Lernaeodiscus
Species ingolfi"
"73","Kingdom Animalia
Phylum Arthropoda
Class Crustacea
Subclass Cirripedia
Order Rhizocephala
Family Lernaeodiscidae
Genus Lernaeodiscus
Species squamiferae"
"74","Kingdom Animalia
Phylum Arthropoda
Class Crustacea
Subclass Cirripedia
Order Rhizocephala
Family Lernaeodiscidae
Genus Triangulus
Species galatheae"
"75","Kingdom Animalia
Phylum Arthropoda
Class Crustacea
Subclass Cirripedia
Order Rhizocephala
Family Lernaeodiscidae
Genus Triangulus
Species munidae"
"76","Kingdom Animalia
Phylum Arthropoda
Class Crustacea
Subclass Cirripedia
Order Rhizocephala
Family Peltogastridae
Genus Galatheascus
Species striatus"
"77","Kingdom Animalia
Phylum Arthropoda
Class Crustacea
Subclass Cirripedia
Order Rhizocephala
Family Peltogastridae
Genus Parthenopea
Species subterranea"
"78","Kingdom Animalia
Phylum Arthropoda
Class Crustacea
Subclass Cirripedia
Order Rhizocephala
Family Peltogastridae
Genus Peltogaster
Species curvatus"
"79","Kingdom Animalia
Phylum Arthropoda
Class Crustacea
Subclass Cirripedia
Order Rhizocephala
Family Peltogastridae
Genus Peltogaster
Species paguri"
"80","Kingdom Animalia
Phylum Arthropoda
Class Crustacea
Subclass Cirripedia
Order Rhizocephala
Family Peltogastridae
Genus Peltogastrella
Species sulcata"
"81","Kingdom Animalia
Phylum Arthropoda
Class Crustacea
Subclass Cirripedia
Order Rhizocephala
Family Peltogastridae
Genus Tortugaster
Species boschmai"
"82","Kingdom Animalia
Phylum Arthropoda
Class Crustacea
Subclass Cirripedia
Order Rhizocephala
Family Sacculinidae
Genus Drepanorchis
Species neglecta"
"83","Kingdom Animalia
Phylum Arthropoda
Class Crustacea
Subclass Cirripedia
Order Rhizocephala
Family Sacculinidae
Genus Sacculina
Species atlantica"
"84","Kingdom Animalia
Phylum Arthropoda
Class Crustacea
Subclass Cirripedia
Order Rhizocephala
Family Sacculinidae
Genus Sacculina
Species bourdoni"
"85","Kingdom Animalia
Phylum Arthropoda
Class Crustacea
Subclass Cirripedia
Order Rhizocephala
Family Sacculinidae
Genus Sacculina
Species carcini"
"86","Kingdom Animalia
Phylum Arthropoda
Class Crustacea
Subclass Cirripedia
Order Rhizocephala
Family Sacculinidae
Genus Sacculina
Species gerbei"
"87","Kingdom Animalia
Phylum Arthropoda
Class Crustacea
Subclass Cirripedia
Order Rhizocephala
Family Sacculinidae
Genus Sacculina
Species gibbsi"
"88","Kingdom Animalia
Phylum Arthropoda
Class Crustacea
Subclass Cirripedia
Order Rhizocephala
Family Sacculinidae
Genus Sacculina
Species inflata"
"89","Kingdom Animalia
Phylum Arthropoda
Class Crustacea
Subclass Cirripedia
Order Rhizocephala
Family Sacculinidae
Genus Sacculina
Species lobata"
"90","Kingdom Animalia
Phylum Arthropoda
Class Crustacea
Subclass Cirripedia
Order Rhizocephala
Family Sacculinidae
Genus Sacculina
Species triangularis"
"91","Kingdom Animalia
Phylum Arthropoda
Class Crustacea
Subclass Cirripedia
Order Rhizocephala
Family Sylonidae
Genus Sylon
Species hippolytes"
"92","Kingdom Animalia
Phylum Arthropoda
Class Crustacea
Subclass Cirripedia
Order Thoracica
Suborder Balanomorpha
Family Balanidae
Subfamily Balaninae
Genus Balanus
Species amphitrite"
"93","Kingdom Animalia
Phylum Arthropoda
Class Crustacea
Subclass Cirripedia
Order Thoracica
Suborder Balanomorpha
Family Balanidae
Subfamily Balaninae
Genus Balanus
Species balanus"
